task,train_mse,validation_mse,test_mse,test_nrmse,rkhs_norm,nu,xi,lambda_K,eta,inner_train_size,outer_train_size,test_size
future,1.874135653925667e-09,0.2918656036205206,0.19767700336034083,1.0275239903048405,3.862027256018765,5.0,1.0,0.0001,1.25e-06,64,80,16
volterra,2.057271725850709e-11,0.0013337959283746914,0.0014167634508842355,0.9458094030670415,0.3552043581193439,1.5,2.0,0.0001,1.25e-06,64,80,16
