task,nu,xi,lambda_K,eta,train_mse,validation_mse,test_mse,rkhs_norm,condition_K,condition_regularized,condition_status,status
future,2.5,1.0,0.0001,1.5625e-06,1.5824171942698742e-09,0.292387435032291,0.20871933138159215,3.1850107853131235,1.9550867460750938,1.9549645930239292,ok,ok
volterra,2.5,1.0,0.0001,1.5625e-06,1.5191176498989287e-11,0.0014749593007610977,0.001992027965691678,0.3176745086091713,1.9550867460750938,1.9549645930239292,ok,ok
future,2.5,1.0,0.01,0.00015625,1.5511718404737525e-05,0.2923976120465597,0.2086860450884847,3.1538491315578105,1.9550867460750938,1.9430241752561328,ok,ok
volterra,2.5,1.0,0.01,0.00015625,1.4903884894535758e-07,0.0014754760582395732,0.001992859434625563,0.3146737982136314,1.9550867460750938,1.9430241752561328,ok,ok
future,2.5,1.0,1.0,0.015625,0.03946746482270716,0.2945374411634975,0.2078836785264862,1.603402677155486,1.9550867460750938,1.4190563184870937,ok,ok
volterra,2.5,1.0,1.0,0.015625,0.00039352829387749176,0.0015031372031961306,0.0020413140263442573,0.1621635845555634,1.9550867460750938,1.4190563184870937,ok,ok
