task,train_mse,validation_mse,test_mse,test_nrmse,rkhs_norm,nu,xi,lambda_K,eta,inner_train_size,outer_train_size,test_size,prefix,reused_main
future,2.1705508877931356e-09,0.212828119532874,0.17948140622409237,1.0372133620074453,2.6262781162351647,5.0,2.0,0.0001,2.5e-06,32,40,16,40,False
volterra,2.0373273045292403e-11,0.0013361847031621553,0.0013630560212965308,0.8797244779952713,0.26419339000640435,5.0,2.0,0.0001,2.5e-06,32,40,16,40,False
future,1.874135653925667e-09,0.2918656036205206,0.19767700336034083,1.0275239903048405,3.862027256018765,5.0,1.0,0.0001,1.25e-06,64,80,16,80,True
volterra,2.057271725850709e-11,0.0013337959283746914,0.0014167634508842355,0.9458094030670415,0.3552043581193439,1.5,2.0,0.0001,1.25e-06,64,80,16,80,True
